type;latitude;longitude;altitude (m);course;slope (%);distance (km);distance_interval (m);name;desc;kml_folder
T;37.001044601;-86.368585441;157.0;;;0.000;;Grand Full;;NCM
T;37.000350139;-86.370074867;156.1;239.7;-0.6;0.153;153.35;;;
T;37.000271172;-86.370281295;156.4;244.4;1.5;0.174;20.36;;;
T;37.000291177;-86.370503607;156.5;276.4;0.7;0.194;19.91;;;
T;37.000364829;-86.370763401;157.0;289.5;1.8;0.218;24.53;;;
T;37.000428729;-86.370928945;157.2;295.8;1.5;0.234;16.35;;;
T;37.000413040;-86.371081044;157.3;262.6;0.4;0.248;13.65;;;
T;37.000375243;-86.371239874;157.2;253.4;-0.1;0.263;14.75;;;
T;37.000276858;-86.371385120;157.2;229.7;-0.1;0.280;16.92;;;
T;37.000008884;-86.371565606;157.3;208.3;0.2;0.314;33.80;;;
T;36.999674469;-86.371816746;157.2;211.0;-0.3;0.357;43.33;;;
T;36.999523688;-86.371961763;157.4;217.5;1.3;0.378;21.13;;;
T;36.999418651;-86.372130020;157.4;232.0;-0.1;0.397;18.98;;;
T;36.999345791;-86.372280564;157.3;238.8;-0.8;0.413;15.65;;;
T;36.999299664;-86.372377544;157.2;239.2;-1.1;0.423;10.04;;;
T;36.999263965;-86.372478307;157.0;246.1;-1.9;0.433;9.81;;;
T;36.999214626;-86.372713359;156.8;255.3;-1.0;0.454;21.63;;;
T;36.999146916;-86.373036746;156.5;255.3;-0.9;0.484;29.75;;;
T;36.999092320;-86.373295200;156.2;255.2;-1.1;0.508;23.79;;;
T;36.999025101;-86.373667923;155.9;257.3;-1.0;0.542;34.01;;;
T;36.998985018;-86.373889653;155.9;257.2;-0.1;0.562;20.23;;;
T;36.998975446;-86.374005032;155.9;264.1;0.3;0.572;10.33;;;
T;36.998991973;-86.374087498;155.9;284.1;0.6;0.580;7.57;;;
T;36.999023810;-86.374155579;156.0;300.4;0.8;0.587;7.01;;;
T;36.999079523;-86.374217396;156.1;318.5;1.4;0.595;8.28;;;
T;36.999137729;-86.374242701;156.2;340.9;1.4;0.602;6.84;;;
T;36.999470981;-86.374321003;156.7;349.4;1.3;0.640;37.63;;;
T;36.999594122;-86.374347640;156.8;350.2;0.7;0.653;13.87;;;
T;36.999668055;-86.374336645;156.5;6.8;-3.7;0.662;8.26;;;
T;36.999754276;-86.374301605;156.2;18.0;-2.9;0.672;10.06;;;
T;36.999831196;-86.374258213;156.1;24.3;-1.4;0.681;9.37;;;
T;37.000076017;-86.374024012;156.5;37.4;1.3;0.715;34.25;;;
T;37.000594322;-86.373546402;157.3;36.4;1.1;0.787;71.53;;;
T;37.001146918;-86.373026877;157.3;36.9;0.0;0.864;76.81;;;
T;37.001511673;-86.372679900;156.9;37.2;-0.7;0.915;50.92;;;
T;37.001777682;-86.372370748;157.6;42.9;1.8;0.955;40.36;;;
T;37.001880789;-86.372244451;158.0;44.4;2.2;0.971;16.04;;;
T;37.002020468;-86.372047208;158.4;48.4;1.7;0.994;23.42;;;
T;37.002144267;-86.371848939;158.3;52.0;-0.3;1.017;22.37;;;
T;37.002241272;-86.371665068;158.3;56.6;-0.2;1.036;19.59;;;
T;37.002328447;-86.371475598;158.4;60.1;0.5;1.056;19.44;;;
T;37.002418551;-86.371308172;158.4;56.0;0.1;1.074;17.95;;;
T;37.002548462;-86.371094819;158.7;52.7;1.1;1.098;23.84;;;
T;37.002668021;-86.370922438;159.1;49.0;2.0;1.118;20.28;;;
T;37.002884101;-86.370675855;159.6;42.3;1.5;1.150;32.51;;;
T;37.003070995;-86.370498261;159.9;37.2;1.3;1.177;26.08;;;
T;37.003223093;-86.370375397;160.1;32.8;0.7;1.197;20.11;;;
T;37.003439672;-86.370213231;160.2;30.9;0.4;1.225;28.04;;;
T;37.003586480;-86.370083615;160.1;35.2;-0.5;1.245;19.96;;;
T;37.003789104;-86.369881401;160.0;38.6;-0.3;1.273;28.80;;;
T;37.004042572;-86.369605337;159.5;41.0;-1.3;1.311;37.35;;;
T;37.004162811;-86.369460661;158.9;43.9;-3.2;1.329;18.54;;;
T;37.004215503;-86.369373109;158.6;53.0;-3.0;1.339;9.74;;;
T;37.004303350;-86.369209792;158.4;56.0;-1.3;1.357;17.50;;;
T;37.004354499;-86.369049785;158.4;68.2;0.3;1.372;15.33;;;
T;37.004419319;-86.368833135;158.4;69.5;-0.2;1.393;20.58;;;
T;37.004449680;-86.368643317;158.5;78.7;0.5;1.410;17.23;;;
T;37.004469917;-86.368478260;158.5;81.3;0.2;1.425;14.86;;;
T;37.004467710;-86.368279349;158.4;90.8;-0.7;1.442;17.71;;;
T;37.004449033;-86.368094106;158.3;97.2;-0.4;1.459;16.62;;;
T;37.004416960;-86.367925191;158.3;103.4;0.2;1.474;15.45;;;
T;37.004369366;-86.367745026;158.6;108.3;1.7;1.491;16.88;;;
T;37.004286592;-86.367460532;159.1;110.0;1.7;1.518;26.94;;;
T;37.004165137;-86.367110757;159.6;113.5;1.6;1.552;33.92;;;
T;37.004071924;-86.366816885;159.9;111.7;1.1;1.580;28.13;;;
T;37.004016247;-86.366638295;160.1;111.3;0.8;1.597;17.05;;;
T;37.003926837;-86.366516851;160.2;132.7;1.3;1.612;14.67;;;
T;37.003788125;-86.366447441;160.3;158.2;0.5;1.629;16.59;;;
T;37.003706090;-86.366454245;160.3;183.8;-0.5;1.638;9.12;;;
T;37.003597162;-86.366507611;160.1;201.4;-1.1;1.651;12.99;;;
T;37.003423730;-86.366712916;159.8;223.4;-1.5;1.677;26.54;;;
T;37.003223030;-86.366959134;157.9;224.4;-5.8;1.708;31.25;;;
T;37.003137598;-86.367100402;156.9;232.9;-6.7;1.724;15.75;;;
T;37.002991192;-86.367460666;155.2;243.0;-4.7;1.760;35.95;;;
T;37.002955236;-86.367623303;154.8;254.5;-2.4;1.775;15.02;;;
T;37.002964513;-86.367751474;154.9;275.2;0.2;1.787;11.45;;;
T;37.002972923;-86.367879778;155.0;274.7;0.8;1.798;11.46;;;
T;37.003016400;-86.367992376;155.2;295.8;2.0;1.809;11.12;;;
T;37.003154879;-86.368242315;156.1;304.8;3.4;1.836;27.04;;;
T;37.003394095;-86.368645175;157.8;306.6;3.8;1.881;44.62;;;
T;37.003443103;-86.368787258;158.2;293.4;2.9;1.895;13.77;;;
T;37.003464277;-86.368926880;158.7;280.8;3.6;1.907;12.65;;;
T;37.003451144;-86.369091830;159.1;264.3;3.2;1.922;14.75;;;
T;37.003412824;-86.369258584;159.5;253.9;2.5;1.937;15.44;;;
T;37.003352226;-86.369376395;159.7;237.2;1.3;1.950;12.46;;;
T;37.003251711;-86.369479612;159.8;219.4;0.5;1.964;14.45;;;
T;37.003165786;-86.369542150;159.8;210.2;0.0;1.975;11.04;;;
T;37.003041892;-86.369612546;159.6;204.4;-1.5;1.991;15.11;;;
T;37.002844726;-86.369708043;158.9;201.1;-2.7;2.014;23.47;;;
T;37.002697609;-86.369783095;158.3;202.2;-3.6;2.032;17.64;;;
T;37.002612911;-86.369837550;158.0;207.2;-3.1;2.042;10.58;;;
T;37.002472846;-86.369958295;157.9;214.5;-0.5;2.061;18.90;;;
T;37.002352408;-86.370093563;157.8;221.9;-0.5;2.079;17.99;;;
T;37.002246100;-86.370229590;158.2;225.6;2.3;2.096;16.91;;;
T;37.002146704;-86.370402728;158.6;234.3;2.1;2.115;18.95;;;
T;37.002081376;-86.370574042;158.9;244.5;2.0;2.132;16.88;;;
T;37.001994039;-86.370836875;159.2;247.4;1.1;2.157;25.32;;;
T;37.001938623;-86.371018441;159.1;249.1;-0.4;2.174;17.29;;;
T;37.001864199;-86.371223276;158.7;245.5;-2.1;2.194;20.02;;;
T;37.001779047;-86.371419669;158.2;241.5;-2.5;2.214;19.87;;;
T;37.001672380;-86.371623360;157.7;236.7;-2.2;2.236;21.65;;;
T;37.001550580;-86.371819081;157.2;232.1;-2.1;2.258;22.05;;;
T;37.001463905;-86.371934486;157.0;226.8;-1.6;2.272;14.07;;;
T;37.001353813;-86.372047502;156.7;219.3;-1.8;2.288;15.83;;;
T;37.001238643;-86.372129314;156.5;209.6;-1.6;2.303;14.71;;;
T;37.001117123;-86.372188412;156.4;201.2;-0.9;2.317;14.48;;;
T;37.000894106;-86.372230970;156.2;188.7;-0.6;2.342;25.04;;;
T;37.000787744;-86.372229104;156.2;179.2;0.2;2.354;11.81;;;
T;37.000704426;-86.372210946;156.2;170.1;-0.0;2.363;9.39;;;
T;37.000644971;-86.372155708;156.2;143.4;-0.3;2.372;8.23;;;
T;37.000595461;-86.372065207;156.2;124.4;-0.1;2.381;9.75;;;
T;37.000597786;-86.371984632;156.1;87.9;-0.7;2.389;7.18;;;
T;37.000620733;-86.371878411;156.0;74.9;-1.1;2.398;9.79;;;
T;37.000690437;-86.371731560;155.9;59.3;-0.6;2.414;15.19;;;
T;37.000791309;-86.371505997;156.0;60.8;0.3;2.436;22.99;;;
T;37.000891011;-86.371269672;156.1;62.2;0.2;2.460;23.77;;;
T;37.001030906;-86.370945580;156.5;61.6;1.2;2.493;32.76;;;
T;37.001136276;-86.370731856;157.4;58.3;4.2;2.515;22.33;;;
T;37.001203288;-86.370633936;157.7;49.4;3.0;2.527;11.46;;;
T;37.001337419;-86.370492307;158.4;40.1;3.4;2.546;19.51;;;
T;37.001599482;-86.370204054;159.2;41.3;2.0;2.585;38.78;;;
T;37.001658578;-86.370125933;159.2;46.6;0.5;2.595;9.56;;;
T;37.001696232;-86.370036403;159.3;62.2;0.6;2.604;9.00;;;
T;37.001722122;-86.369905993;159.3;76.0;0.3;2.616;11.96;;;
T;37.001710337;-86.369789800;159.1;97.2;-1.9;2.626;10.42;;;
T;37.001696699;-86.369492167;158.3;93.3;-3.1;2.653;26.54;;;
T;37.001689049;-86.369028502;157.9;91.2;-1.0;2.694;41.28;;;
T;37.001677882;-86.368770394;158.8;93.1;3.9;2.717;23.01;;;
T;37.001695265;-86.368654133;159.0;79.4;1.7;2.727;10.53;;;
T;37.001752352;-86.368495625;159.2;65.7;1.4;2.743;15.47;;;
T;37.002005922;-86.367936269;157.6;60.4;-2.9;2.800;57.19;;;
T;37.002413834;-86.367060745;156.2;59.7;-1.5;2.890;90.12;;;
T;37.002618304;-86.366584678;157.1;61.7;1.9;2.938;48.07;;;
T;37.002741512;-86.366336958;157.7;58.1;2.4;2.964;25.94;;;
T;37.002825379;-86.366194689;158.1;53.6;2.6;2.980;15.72;;;
T;37.003018057;-86.365974567;159.4;42.4;4.3;3.009;29.00;;;
T;37.003380000;-86.365593091;160.5;40.1;2.1;3.061;52.60;;;
T;37.003871715;-86.365073187;160.4;40.2;-0.1;3.133;71.55;;;
T;37.004167945;-86.364761079;159.8;40.1;-1.4;3.176;43.04;;;
T;37.004440075;-86.364472316;159.0;40.3;-1.9;3.216;39.66;;;
T;37.004520460;-86.364373061;158.8;44.6;-2.1;3.228;12.56;;;
T;37.004606136;-86.364227607;158.7;53.6;-0.6;3.244;16.06;;;
T;37.004715971;-86.364070111;158.9;48.9;1.4;3.263;18.58;;;
T;37.004928967;-86.363893474;159.6;33.5;2.3;3.291;28.39;;;
T;37.005247941;-86.363731020;160.9;22.1;3.3;3.330;38.24;;;
T;37.005642881;-86.363558834;162.2;19.2;2.9;3.376;46.43;;;
T;37.005748979;-86.363490904;162.6;27.1;3.1;3.389;13.24;;;
T;37.005965289;-86.363324397;163.0;31.6;1.5;3.417;28.21;;;
T;37.006082521;-86.363186155;162.8;43.3;-1.1;3.435;17.91;;;
T;37.006194536;-86.363013397;162.7;50.9;-0.8;3.455;19.77;;;
T;37.006278214;-86.362865264;162.4;54.7;-1.5;3.471;16.13;;;
T;37.006370948;-86.362625217;162.1;64.2;-1.6;3.495;23.71;;;
T;37.006442343;-86.362287238;161.3;75.2;-2.5;3.526;31.11;;;
T;37.006457832;-86.362010982;160.5;86.0;-3.2;3.551;24.65;;;
T;37.006434608;-86.361717169;159.7;95.7;-2.9;3.577;26.28;;;
T;37.006391921;-86.361494836;159.5;103.5;-1.2;3.597;20.35;;;
T;37.006357147;-86.361374773;159.5;109.9;0.8;3.609;11.36;;;
T;37.006306613;-86.361223182;159.8;112.7;1.6;3.623;14.61;;;
T;37.006254450;-86.361088443;160.1;115.9;2.6;3.637;13.32;;;
T;37.006200587;-86.360956853;160.3;117.1;1.1;3.650;13.15;;;
T;37.006147093;-86.360859961;160.5;124.7;1.9;3.660;10.47;;;
T;37.006107447;-86.360766389;160.7;117.9;2.8;3.670;9.42;;;
T;37.006092267;-86.360699755;160.9;105.9;3.4;3.676;6.17;;;
T;37.006067839;-86.360618131;161.2;110.5;3.3;3.684;7.75;;;
T;37.006027765;-86.360547820;161.4;125.5;2.6;3.691;7.68;;;
T;37.005959698;-86.360468564;161.6;137.1;1.8;3.702;10.34;;;
T;37.005880996;-86.360429155;161.7;158.2;1.6;3.711;9.41;;;
T;37.005813298;-86.360389804;161.9;155.1;1.8;3.719;8.29;;;
T;37.005718327;-86.360367795;162.0;169.5;1.1;3.730;10.72;;;
T;37.005637203;-86.360357175;162.1;174.0;1.7;3.739;9.05;;;
T;37.005441711;-86.360394607;162.5;188.7;1.5;3.761;21.95;;;
T;37.005109096;-86.360471589;162.2;190.5;-0.8;3.799;37.54;;;
T;37.004822787;-86.360524611;161.9;188.4;-0.8;3.831;32.12;;;
T;37.004532307;-86.360590374;162.3;190.2;1.3;3.863;32.76;;;
T;37.004356079;-86.360634713;161.9;191.4;-2.3;3.883;19.95;;;
T;37.004239568;-86.360713563;161.5;208.4;-2.7;3.898;14.71;;;
T;37.004148210;-86.360828078;161.2;225.0;-2.2;3.912;14.38;;;
T;37.004074851;-86.360988543;160.8;240.2;-2.0;3.929;16.44;;;
T;37.004039590;-86.361182405;160.8;257.2;-0.2;3.947;17.69;;;
T;37.004047769;-86.361311066;160.8;274.6;0.4;3.958;11.49;;;
T;37.004100180;-86.361479300;160.9;291.3;0.5;3.974;16.06;;;
T;37.004173851;-86.361614795;161.0;304.2;0.3;3.989;14.57;;;
T;37.004240160;-86.361687801;160.9;318.7;-0.3;3.999;9.82;;;
T;37.004310250;-86.361748337;160.8;325.4;-1.1;4.008;9.46;;;
T;37.004390628;-86.361786357;160.3;339.3;-6.1;4.018;9.54;;;
T;37.004525046;-86.361836183;159.6;343.5;-4.5;4.033;15.56;;;
T;37.004626621;-86.361809623;158.6;11.8;-8.7;4.045;11.52;;;
T;37.004774838;-86.361747105;156.9;18.6;-9.7;4.062;17.36;;;
T;37.004886071;-86.361666759;155.4;30.0;-10.5;4.076;14.27;;;
T;37.005049903;-86.361554457;154.0;28.7;-6.6;4.097;20.75;;;
T;37.005163101;-86.361518153;153.6;14.4;-2.7;4.110;12.97;;;
T;37.005323012;-86.361506522;154.7;3.3;5.8;4.128;17.78;;;
T;37.005482882;-86.361574197;156.1;341.3;7.7;4.147;18.74;;;
T;37.005592023;-86.361685430;157.5;320.9;9.0;4.162;15.64;;;
T;37.005668268;-86.361785313;158.5;313.7;7.8;4.174;12.27;;;
T;37.005707181;-86.361870121;159.0;299.9;5.9;4.183;8.70;;;
T;37.005739058;-86.362004719;159.5;286.5;4.3;4.196;12.49;;;
T;37.005746391;-86.362166332;160.2;273.3;4.5;4.210;14.41;;;
T;37.005716962;-86.362350326;160.9;258.7;4.5;4.227;16.70;;;
T;37.005641752;-86.362499000;161.5;237.6;3.4;4.242;15.65;;;
T;37.005532674;-86.362637093;161.9;225.3;2.4;4.260;17.25;;;
T;37.005432777;-86.362692196;162.1;203.8;1.5;4.272;12.12;;;
T;37.005298885;-86.362739713;162.4;195.8;2.2;4.287;15.45;;;
T;37.005213076;-86.362748568;162.5;184.7;1.3;4.297;9.56;;;
T;37.005123102;-86.362729446;162.6;170.4;0.3;4.307;10.13;;;
T;37.005029294;-86.362715823;162.7;173.4;1.1;4.317;10.48;;;
T;37.004935791;-86.362732161;162.9;187.9;2.0;4.328;10.48;;;
T;37.004853112;-86.362760341;163.1;195.2;1.9;4.337;9.51;;;
T;37.004754717;-86.362836991;163.1;211.9;0.2;4.350;12.88;;;
T;37.004661468;-86.362959174;162.9;226.3;-1.1;4.365;15.01;;;
T;37.004587987;-86.363093722;162.5;235.6;-2.9;4.380;14.49;;;
T;37.004445287;-86.363312914;161.3;230.8;-4.7;4.405;25.13;;;
T;37.004337797;-86.363428911;160.7;220.8;-4.0;4.421;15.78;;;
T;37.004232514;-86.363507167;160.4;210.7;-2.3;4.434;13.60;;;
T;37.004113150;-86.363542169;160.3;193.2;-0.3;4.448;13.61;;;
T;37.003954496;-86.363573683;160.5;189.0;0.9;4.466;17.83;;;
T;37.003796775;-86.363607889;160.8;189.8;1.6;4.483;17.77;;;
T;37.003653184;-86.363644524;161.2;191.5;2.8;4.500;16.27;;;
T;37.003541690;-86.363688073;161.7;197.3;3.5;4.513;12.97;;;
T;37.003442371;-86.363747777;162.0;205.6;2.8;4.525;12.24;;;
T;37.003368679;-86.363797371;162.0;208.3;0.4;4.534;9.29;;;
T;37.003278477;-86.363902121;162.0;222.8;-0.1;4.548;13.68;;;
T;37.003164096;-86.364099492;161.6;234.0;-2.0;4.570;21.67;;;
T;37.002915125;-86.364624922;159.7;239.3;-3.5;4.624;54.32;;;
T;37.002487801;-86.365523644;159.1;239.2;-0.6;4.717;92.99;;;
T;37.002093995;-86.366373549;157.9;239.9;-1.4;4.804;87.37;;;
T;37.001408096;-86.367844131;157.5;239.7;-0.3;4.956;151.42;;;
T;37.001110324;-86.368461326;157.1;238.9;-0.6;5.020;64.11;;;
T;37.001050648;-86.368574870;157.0;236.7;-0.6;5.032;12.08;;;
